LOCATION,Country,TIME,Business enterprise,Government,Higher Education,Private non-profit,Rest of the world,Not specified source,Basic research,Applied research,Experimental development,Not specified activities,Medical and health sciences
NOR,Norway,2009,2013442.2,2159053.722,19828.56175,45653.08658,378528.2358,,,,,,
NOR,Norway,2011,2211150.913,2328736.627,18496.62921,55016.462,389541.2131,,,,,,
NOR,Norway,2013,2426973.367,2578538.653,29630.22083,57664.20081,532634.5346,,,,,,
NZL,New Zealand,1997,232987.4392,399718.6461,83357.66534,8440.61851,39869.29052,,,,,,
NZL,New Zealand,1999,259413.3802,385059.8748,69856.27257,13919.67435,32474.59328,,,,,,
NZL,New Zealand,2001,363314.3443,452616.1144,78103.76241,18025.92873,64261.98805,,439790.8601,329724.3928,191360.9359,,
NZL,New Zealand,2003,423952.3742,485327.962,97105.66352,23308.03065,79073.66273,,386285.5281,417540.9961,304740.8134,,
NZL,New Zealand,2005,488273.6156,513811.0749,106058.6319,20065.14658,61889.25081,,358957.6547,421368.0782,409055.3746,,
NZL,New Zealand,2007,584603.4064,605861.7121,124228.2239,52481.44216,68425.17143,,433802.3004,492262.6411,509535.0144,,
NZL,New Zealand,2009,645307.8166,739826.0321,137357.4067,46919.11417,86358.36955,,452191.4626,616748.3558,585468.9464,,
NZL,New Zealand,2011,705962.3195,731535.7877,166900.5293,49127.97838,111715.6769,,454265.5536,726824.8857,586170.8106,,
NZL,New Zealand,2013,738773.1385,738773.1385,187460.2252,57414.01732,134196.6188,,467612.9604,726321.9059,664065.7425,,
OMN,Oman,2011,8483.71275,77469.51085,59785.84565,,,40328.69851,45469.28473,74877.84951,12898.45231,52822.1812,8200.73125
OMN,Oman,2012,94623.53836,151195.3562,69660.03124,852.2937,26.87812,8.1072,156608.6211,91357.6493,33578.08337,34821.85106,3366.72675
OMN,Oman,2013,66895.69082,132428.9929,66612.00929,187.33276,2.38742,6381.92297,125256.1726,47089.43802,42504.92133,57657.80444,10828.08136
OMN,Oman,2014,116794.8644,230300.1523,9595.01101,710.27334,,,124054.5233,207528.1823,25817.59551,,9183.15914
OMN,Oman,2015,94517.65535,246249.161,100680.4728,946.70743,,,277252.9235,125256.9339,39884.13959,,11256.51222
PAK,Pakistan,1997,,513411.3496,,,,,,,,,
PAK,Pakistan,1998,,373350.5549,,,,,,,,,
PAK,Pakistan,1999,,417065.5263,,,,,,,,,
PAK,Pakistan,2000,,492241.5824,,,,,,,,,
PAK,Pakistan,2001,,667233.5192,,,,,,,,,
PAK,Pakistan,2002,,921938.2499,,,,,,,,,
PAK,Pakistan,2005,,2091001.12,285248.0586,,8377.20492,18277.53802,,,,,
PAK,Pakistan,2007,,3396153.885,529000.539,72680.85343,38945.36089,60565.64848,,,,,
PAK,Pakistan,2009,,2620425.987,377806.6315,51840.17736,28709.81984,39788.85935,,,,,
PAK,Pakistan,2011,,2071886.074,303797.2823,40973.23212,22202.74378,32226.32453,,,,,
PAK,Pakistan,2013,,1850284.194,491800.9815,42118.42005,32103.70164,42086.16991,,,,,
PAK,Pakistan,2015,,1557390.881,593319.54,6563.25554,61780.20223,106014.086,,,,,
PAN,Panama,1996,1342.28317,25527.56542,586.49309,1088.3377,31918.52626,,30939.02233,16851.09541,12697.27318,,
PAN,Panama,1997,423.12017,28178.54007,618.89218,827.29465,33104.41664,,31468.77301,25343.00343,6334.17205,6.31523,
PAN,Panama,1998,,24781.92542,1517.26074,789.469,34588.6107,,29358.37855,28309.86503,4009.02228,,
PAN,Panama,1999,920.59061,30247.9771,4011.14479,591.80825,29984.95121,,18424.96344,32437.66762,14893.8409,,
PAN,Panama,2000,552.49961,31676.64411,368.33307,644.58287,59025.37464,,17928.61223,44586.71825,29567.93728,,
PAN,Panama,2001,9611.05904,30906.15065,565.35641,1130.71283,51918.56405,94.22607,23905.15372,43033.04574,27287.8696,,
PAN,Panama,2002,556.66206,24307.57666,1948.31721,185.55402,65686.12318,92.77701,27461.995,44161.85683,21060.3813,92.77701,
PAN,Panama,2003,555.14831,23593.8032,1665.44493,925.24718,65692.55007,92.52472,31458.40426,40618.35138,20447.96277,,
PAN,Panama,2004,79.30534,25219.09754,1903.32812,1795.18447,43098.8465,,20907.77097,27396.38955,23791.60145,,
PAN,Panama,2005,343.29501,31476.88261,1177.01145,531.28989,48126.69042,,35148.72149,21252.71532,25339.77596,,
PAN,Panama,2006,985.575,44835.08679,148.61597,1655.24485,45211.38415,8.30379,42703.98818,26918.29805,23221.92432,,
PAN,Panama,2007,316.55313,40030.30073,595.04501,985.91385,41745.17501,66.0738,41112.20075,18889.97434,23736.88643,,
PAN,Panama,2008,2202.24081,44885.05153,3005.72357,933.13067,47102.98787,90.83504,40303.77397,27524.52856,30473.5852,,
PAN,Panama,2009,2500.71316,34624.50017,3458.24492,11379.23363,17279.56546,4.99539,8879.46193,25537.58259,34784.23669,45.97152,
PAN,Panama,2010,2761.10875,43653.14476,4823.65739,11342.83362,18401.09729,5.94608,11800.80576,32164.80911,37111.63075,,
PAN,Panama,2011,20683.60834,51246.05268,5481.7352,9501.67435,22739.60622,18.57212,24064.81753,45443.58481,40126.30166,36.5449,
PAN,Panama,2012,5246.21639,43863.69218,4059.47328,,117.07806,,14599.34584,22022.74203,12916.70937,3727.78649,
PAN,Panama,2013,5181.20956,38647.38024,3813.86693,,121.47766,,15596.49626,22030.69439,10125.95115,7.59446,
PER,Peru,1997,,,,,,,689.28545,83060.46774,19669.38345,,
PER,Peru,1998,,,,,,,48327.1193,64219.21393,12913.67486,,
PER,Peru,1999,,,,,,,48457.44643,61001.40971,16957.15269,,
PHL,Philippines,2002,272712.2967,76048.08678,23282.83816,757.7255,21974.03957,2686.48133,,,,,
PHL,Philippines,2003,277828.4664,88158.21123,19235.25406,1485.33256,15420.62214,214.92322,,,,,
PHL,Philippines,2005,256169.7078,104880.9889,24503.42164,2722.93288,19494.90108,1300.84977,,,,,
PHL,Philippines,2007,296054.5446,124621.7017,30500.28722,4343.95826,19696.64112,2626.49706,,,,,
PHL,Philippines,2009,309318.7517,143734.7068,41667.77075,2250.62579,22473.27669,18152.76708,,,,,24848.74482
PHL,Philippines,2011,317471.155,229217.8985,46104.82628,798.12408,43706.73233,325.7433,,,,,45425.22912
PHL,Philippines,2013,326790.8224,457369.1105,79543.12222,2024.59568,16292.35308,4514.58,,,,,40469.37654
POL,Poland,1996,793372.6397,1179781.346,32163.75566,7024.26848,29427.98794,,,,,,181078.2474
POL,Poland,1997,778760.5476,1368774.687,29190.31225,6802.26733,36124.66245,,,,,,218531.0933
POL,Poland,1998,914401.5375,1426319.119,32292.87891,8209.0309,36276.67331,,,,,,248202.4637
POL,Poland,1999,1007564.213,1546163.337,36888.7743,7251.14752,43909.72667,,,,,,284233.4731
POL,Poland,2000,771510.7972,1739987.996,44703.14116,10848.68913,47537.9745,,,,,,319845.5234
POL,Poland,2001,815712.492,1717257.866,43380.25494,9821.94452,64661.13473,,,,,,282762.8693
POL,Poland,2002,755141.5578,1555843.86,72786.0673,7500.85426,121236.0297,,,,,,292366.6306
POL,Poland,2003,763655.8279,1582499.019,52807.16583,7251.29845,116906.43,,,,,,281582.8644
POL,Poland,2004,858436.3925,1736649.656,68672.72611,7484.61693,145212.4948,,,,,,310966.712
POL,Poland,2005,995451.3693,1722589.748,86528.39615,8834.89193,171450.4483,,882418.2973,571858.4597,907316.6291,623261.4673,304080.9169
POL,Poland,2006,1052066.403,1828760.083,68654.12527,9614.81849,223949.6486,,945277.0985,637548.8911,1004262.389,595956.6988,352021.1915
POL,Poland,2007,1231377.171,2106699.963,7164.18039,7756.70659,241481.3586,,1053780.91,665514.6521,1066385.558,808798.2599,353497.8976
POL,Poland,2008,1274099.02,2501135.844,171964.2848,9173.59979,226680.1937,,1240715.801,726831.3681,1278441.552,937064.2201,391859.2716
POL,Poland,2009,1316378.697,2936635.984,325733.4225,12534.38922,267078.9088,,1489610.384,733690.2956,1656521.311,978592.9773,510642.4464
POL,Poland,2010,1411675.759,3523277.579,145547.3179,18207.29224,683328.5595,,1705212.837,882221.0232,1710597.31,1483949.828,595900.2507
POL,Poland,2011,1824001.457,3620191.582,158263.6847,16209.39879,868757.161,,1722914.761,1133880.752,1871352.885,1759330.396,733641.83
POL,Poland,2012,2581384.369,4101787.806,207887.0128,33126.07729,1066659.689,,2059272.852,1178620.263,2373163.312,2379732.854,1034090.352
POL,Poland,2013,3058474.154,3870878.689,174557.3441,14484.90815,1074780.184,,2864433.189,1682919.112,3645879.782,,864152.5789
POL,Poland,2014,3585852.008,4157540.896,204800.2075,18313.15379,1228858.118,,3082752.137,1815220.278,4297391.968,,969516.5612
POL,Poland,2015,3997224.158,4286156.877,225494.6242,23377.90266,1715779.176,,,,,,
PRI,Puerto Rico,2013,358732.3728,136537.9337,48807.12554,2684.3919,,1509.36036,113131.2565,117734.9886,317404.9392,,199845.6563
PRT,Portugal,1996,168578.2278,551486.5666,11490.03206,21008.89094,71609.22445,,,,,,
PRT,Portugal,1997,190918.7959,613276.605,13825.18643,25936.05598,55098.14464,,,,,,
PRT,Portugal,1998,225276.8981,731006.5068,14876.90543,27171.1521,60001.94688,,,,,,
PRT,Portugal,1999,262953.3091,859326.2312,16184.25713,28888.56597,65913.1572,,,,,,
PRT,Portugal,2000,378848.8254,907477.0269,14717.33081,26955.57138,72670.59995,,350878.9433,574254.0433,475536.3678,,
PRT,Portugal,2001,489399.1217,945771.0796,13119.41808,24772.98775,78602.94634,,374389.043,617083.3352,560193.1752,,
PRT,Portugal,2002,484309.183,926796.0261,16120.08076,26797.3652,77053.21234,,379013.8391,610102.0562,541959.9721,,
PRT,Portugal,2003,482367.5028,913864.1176,19219.18339,28989.8297,76005.84569,,386085.18,607087.8941,527273.4051,,
PRT,Portugal,2004,561211.6194,943256.1716,18468.54507,39480.39658,79416.22245,,416155.9106,633246.3385,592429.2273,,
PRT,Portugal,2005,655786.3725,998104.655,18202.23738,51124.63663,84978.9013,,457622.7044,676556.8852,674018.7186,,197340.1941
PRT,Portugal,2006,1064371.725,1203923.167,19865.65738,61881.29633,127775.3836,,522146.8588,900609.2572,1055061.113,,240032.0399
PRT,Portugal,2007,1432380.314,1357286.443,20619.24113,69946.3946,165539.0801,,563288.9504,1087213.755,1395267.224,,272308.3051
PRT,Portugal,2008,1953866.081,1776236.033,145044.8638,67229.63839,121261.0902,,801307.243,1412459.05,1849871.414,,437654.4452
PRT,Portugal,2009,1940407.942,2010875.255,126061.3509,165136.619,181039.3258,,946793.6032,1535200.14,1941525.153,,463224.5914
PRT,Portugal,2010,1948254.739,2000019.294,140061.4178,203807.2576,141439.2977,,1002122.289,1564025.596,1867434.121,,500752.4479
PRT,Portugal,2011,1841814.012,1720480.257,220675.2551,87485.93687,248496.5887,,835092.596,1579810.394,1704050.664,,524682.9074
PRT,Portugal,2012,1764393.011,1653069.551,137028.8637,79645.12602,198274.5235,,803758.8496,1487312.479,1541338.095,,496668.3075
PRT,Portugal,2013,1637324.209,1796912.945,151701.3103,50334.43095,237072.0999,,881554.8467,1520309.392,1471482.472,,475799.2042
PRT,Portugal,2014,1616698.345,1823112.868,161153.1658,49563.46518,217120.4122,,897705.8315,1522660.134,1447284.024,,492004.8028
PRY,Paraguay,2001,5.46045,8323.45045,3976.05991,655.43194,6305.14885,0.00511,3101.75463,10470.83008,5692.97201,,1550.50199
PRY,Paraguay,2002,2.62183,14176.71776,2842.37296,521.64877,4903.39796,,2687.01154,15391.01665,4368.7056,0.02549,3982.26296
PRY,Paraguay,2003,2.99212,12674.2809,2541.24555,466.39977,4383.8106,,2402.34487,13760.46559,3905.87734,0.02262,3560.37446
PRY,Paraguay,2004,2.54225,13741.44797,2756.35203,508.9817,4758.12395,,2605.69302,14925.22977,4236.49304,0.02427,3861.74434
PRY,Paraguay,2005,73.26885,17715.11368,2041.80143,464.43787,3349.49232,,,,,,5049.75676
PRY,Paraguay,2008,54.77615,16695.42947,2015.73766,460.11473,2684.11088,,3505.62921,17147.02402,1257.51568,,4845.54468
PRY,Paraguay,2011,1146.83415,15476.99687,5069.80439,574.33072,4515.50204,,4126.91751,16891.61676,5764.93389,,4248.3673
PRY,Paraguay,2012,355.74528,34573.17968,1555.32324,1197.18587,3230.68329,970.32988,4976.6712,29794.16609,7111.60996,,5204.33474
PRY,Paraguay,2014,167.27481,41505.00399,1758.73564,2511.74132,9947.4979,4734.76815,6582.10451,43431.09731,10611.82,,11427.64156
PRY,Paraguay,2015,220.7494,57713.82578,1621.21118,3278.93216,8158.90685,7966.63455,10798.88362,57708.81725,10452.55906,,17693.7242
PSE,Palestine,2007,82.5744,1073.44267,908.2962,3468.04185,13872.16915,8119.62109,8975.62371,7280.13766,3911.18182,7357.20274,
PSE,Palestine,2008,422.47313,1146.71271,100.58829,2776.25111,8107.45784,7564.27855,6560.40285,5321.14857,2858.73296,5377.47725,
PSE,Palestine,2009,2796.6553,8175.75414,1124.61294,5896.77679,24009.58289,17499.92124,14132.03492,14994.83237,5515.95541,24860.48112,
PSE,Palestine,2010,567.99743,12972.70829,1398.60859,3016.858,31992.31517,11095.02252,12424.36317,8258.52409,6208.92942,34151.69378,
PSE,Palestine,2013,3589.89677,28044.97448,4362.18506,16307.55503,23096.2648,20133.00473,,,,,
QAT,Qatar,2012,311600.0747,401712.4848,471097.653,72137.67748,31180.5951,675.06283,349650.3316,645597.7368,293155.4794,,343046.042
ROU,Romania,1996,363963.5591,480554.5413,5630.65258,2336.60684,23286.28182,,,,,,47404.62364
ROU,Romania,1997,380500.2633,305418.0907,13350.45509,4.91729,21119.78071,,,,,,14928.90669
ROU,Romania,1998,261562.2859,326738.9591,18556.94312,,10718.49573,,,,,,27395.82835
ROU,Romania,1999,251506.5807,233759.6971,3383.29199,,12298.9394,,,,,,27905.88514
ROU,Romania,2000,235187.3616,196019.2023,25015.72212,664.96668,23518.73616,,,,,,18067.63125
ROU,Romania,2001,269420.7935,243173.8593,6968.70337,75.17081,46413.6594,,,,,,31920.48161
ROU,Romania,2002,244054.7704,284194.7995,17425.25569,60.30561,41361.47329,,,,,,39479.73375
ROU,Romania,2003,293596.885,308106.4479,9883.27627,8.4886,35290.50312,,,,,,69317.90265
ROU,Romania,2004,330055.7986,368214.7794,11143.36171,202.52061,41263.77148,,,,,,82226.52011
ROU,Romania,2005,314477.1021,451916.591,33727.05726,196.96299,44381.61312,,,,,,96581.80053
ROU,Romania,2006,340093.1685,716836.7646,13741.94615,2034.15086,45649.83089,,,,,,62713.69967
ROU,Romania,2007,392664.8692,981166.85,20441.12985,723.52042,66363.87042,,670562.4859,653232.2254,137566.1998,,74654.82383
ROU,Romania,2008,442716.187,1334022.5,50311.55976,510.77726,75531.1868,,941887.3073,809455.5341,151732.7688,,231615.7778
ROU,Romania,2009,523279.7156,826952.6024,28776.7237,1149.3057,125570.7514,,637593.1487,734199.991,133935.9592,,158342.8936
ROU,Romania,2010,507438.8804,855407.0224,34100.30454,602.03453,174952.278,,674360.122,786380.8962,111760.8048,,134326.0234
ROU,Romania,2011,672517.4752,883306.4287,21067.86336,4085.05974,216933.962,,779539.3308,705014.0867,313356.7263,,
ROU,Romania,2012,632143.8147,917636.7417,17785.98794,4341.92996,265355.9398,,761185.2823,759819.1956,316259.2966,,179574.5228
ROU,Romania,2013,476407.4737,803064.4334,17610.63304,699.166,238127.7135,,611611.9701,622020.321,302276.5054,,189237.1913
ROU,Romania,2014,521299.9335,768888.8493,22863.1135,1458.14783,269226.8877,,558769.3132,697435.8874,327531.7312,,165374.29
ROU,Romania,2015,797424.4143,891521.3058,36298.02964,1968.03956,411144.9896,,,,,,
RUS,Russian Federation,1996,2487906.121,4900849.079,21260.34891,43629.05918,440384.1614,,,,,,187184.0376
RUS,Russian Federation,1997,2693541.674,5360301.157,18147.03331,73282.81678,650583.8975,,,,,,222863.5424
RUS,Russian Federation,1998,2684662.413,4119942.855,26538.26317,70930.81089,789031.4482,,,,,,179754.0643
RUS,Russian Federation,1999,2738627.828,4435459.987,32250.82636,4263.99472,1463339.592,,,,,,190050.9437
RUS,Russian Federation,2000,3452566.045,5757248.794,29172.67925,9258.55924,1256260.484,,,,,,213138.6078
RUS,Russian Federation,2001,4256270.683,7242705.784,43279.05394,24711.99106,1090959.247,,,,,,237692.0756
RUS,Russian Federation,2002,4820130.557,8506374.721,45958.89536,14492.90365,1171132.293,,,,,,321636.7837
RUS,Russian Federation,2003,5295680.359,10260822.16,81811.2585,28162.20579,1547269.487,,,,,,360930.2344
RUS,Russian Federation,2004,5326361.716,10290115.65,59939.74861,8535.61411,1285839.191,,,,,,368892.6209
RUS,Russian Federation,2005,5436870.899,11224821.73,77197.69842,5370.54777,1376242.126,,,,,,379809.2215
RUS,Russian Federation,2006,6595180.086,13987953.19,130995.3147,23535.5576,2156210.625,,,,,,548872.3503
RUS,Russian Federation,2007,7813483.922,16616226.44,162819.3513,26987.58099,1916146.854,,,,,,666973.6796
RUS,Russian Federation,2008,8625201.134,19453907.47,139033.0346,53586.88355,1786657.124,,,,,,848046.4251
RUS,Russian Federation,2009,9213775.776,23031707.5,135256.0685,33653.52448,2240206.275,,,,,,1051077.034
RUS,Russian Federation,2010,8441234.405,23281023,154067.9088,43148.62552,1174035.909,,,,,,1150596.291
RUS,Russian Federation,2011,9740676.179,23605413.53,268915.8939,69741.142,1507329.94,,,,,,1165248.399
RUS,Russian Federation,2012,10321747.52,25719054.78,319897.0956,47555.27224,1503237.377,,,,,,1179488.841
RUS,Russian Federation,2013,10310200.62,24767491.15,381900.6991,43773.03651,1110782.309,,,,,,1142601.263
RUS,Russian Federation,2014,10791806.73,27593300.02,426564.8916,64404.2811,986895.7772,,,,,,1242194.103
RUS,Russian Federation,2015,10728069.94,28170131.57,481793.2343,69413.02972,1072650.163,,,,,,1412671.227
SAU,Saudi Arabia,2013,,,,,,,,,,,1426510.556
SEN,Senegal,2008,3775.7507,53339.30499,284.9064,251.03937,35770.35894,50.80055,,,,,
SEN,Senegal,2010,6121.47662,71167.25649,49.61571,4825.93345,60582.26402,6717.28912,,,,,
SGP,Singapore,1996,957172.8997,641946.9865,18015.80125,,47046.67567,,196033.3869,658280.1615,809869.7433,,
SGP,Singapore,1997,1045058.185,804928.4126,5118.11434,,112269.4604,,252523.5548,862074.6131,852775.0695,,
SGP,Singapore,1998,1267029.147,1027403.237,5031.2235,,88033.95778,,292684.6257,822021.6431,1272791.296,,92520.10014
SGP,Singapore,1999,1441958.808,1133325.189,10412.3072,,102701.0958,,366261.6098,976052.5922,1346083.198,,115055.5898
SGP,Singapore,2000,1651373.944,1209397.105,21193.33573,,120943.7017,,352922.9213,1051365.066,1598620.099,,145120.4684
SGP,Singapore,2001,1828879.366,1296094.336,25901.59221,,223904.5501,,518272.9981,1057793.633,1798713.214,,310832.678
SGP,Singapore,2002,1822467.565,1545003.751,24248.86078,,262793.8489,,563212.0201,1269728.571,1821572.361,,479919.4214
SGP,Singapore,2003,1966944.452,1593266.874,16760.60803,,237235.8923,,659132.5187,1374414.411,1780659.784,,553889.756
SGP,Singapore,2004,2465609.972,1688919.552,45896.05653,,258648.3419,,839858.973,1328294.976,2290921.071,,811136.6131
SGP,Singapore,2005,2984034.5,1849286.03,23984.18298,,221751.1629,,1047797.771,1652028.927,2379228.069,,945943.1376
SGP,Singapore,2006,3282541.369,2047515.34,50188.60408,,246468.3332,,1160687.143,1796407.215,2669619.289,,1170927.033
SGP,Singapore,2007,4132065.628,2409034.784,64912.95978,,298631.6379,,1200043.434,1704291.959,4000309.616,,1151896.788
SGP,Singapore,2008,5101353.465,2401492.488,107716.242,,425649.6187,,1365817.236,2035552.193,4634861.551,,1197889.978
SGP,Singapore,2009,3457419.475,2677398.635,101888.747,,394227.9856,,1345027.586,2156067.587,3129845.156,,1364620.31
SGP,Singapore,2010,3830657.559,2900385.171,128670.1784,,351139.9055,,1488462.49,2370836.102,3351540.888,,1512034.058
SGP,Singapore,2011,4622405.641,3179193.862,135392.2444,,418179.1941,,1592737.762,2749685.242,4012747.937,,1539904.5
SGP,Singapore,2012,4385302.038,3166201.113,179345.159,,485456.0827,,1607833.694,2670826.145,3937643.42,,1592363.363
SGP,Singapore,2013,4624651.034,3453530.26,189787.9255,,512531.7321,,1795641.924,2911425.439,4073434.749,,1587278.264
SGP,Singapore,2014,5447268.132,3734533.727,197127.3498,,689240.7786,,1980841.629,3228941.313,4858387.045,,1863394.386
SLV,El Salvador,1998,251.27932,11249.08211,2848.55439,2242.0181,5071.07668,,12737.26224,6888.51937,2036.229,,
SLV,El Salvador,2007,684.99883,19213.81425,15023.63611,345.53207,2813.43653,16.054,9552.06793,23962.51524,2305.67157,2277.21704,4241.47882
SLV,El Salvador,2008,337.51537,24672.9712,22187.38798,66.47999,2234.3316,12.05926,15332.35986,25394.22102,6069.05911,2715.10539,5910.16547
SLV,El Salvador,2009,7695.49587,21489.15224,207.98637,41.1813,3743.75475,100.24943,12544.51852,12805.86266,3484.58848,4442.85031,4991.673
SLV,El Salvador,2010,164.68363,20791.30839,6175.63615,4.11709,2470.25446,37.05382,9202.61961,15042.74359,3539.46908,1858.22127,4528.79985
SLV,El Salvador,2011,198.79184,3564.33762,7752.8816,23.45744,2757.24276,16.30093,3675.84176,7709.50883,1366.24207,1561.41951,1192.75102
SLV,El Salvador,2012,400.83738,1707.56726,10822.60938,382.7997,1332.7843,,4986.20137,6298.35962,1508.98199,1766.87501,1638.48294
SLV,El Salvador,2013,202.84092,12170.45533,10547.72795,811.36369,4665.34121,81.13637,6085.22767,19878.41038,1014.20461,1501.02282,2413.80697
SLV,El Salvador,2014,282.87536,14228.52052,20948.00093,384.86762,7278.79936,,11484.21687,26903.29892,3472.96539,1262.5826,13585.95504
SRB,Serbia,2005,,,,,,,81803.41042,79852.8248,57203.31854,51201.15241,11151.26087
SRB,Serbia,2006,,,,,,,87293.377,150537.317,68728.93038,26099.54641,10118.46449
SRB,Serbia,2007,48713.90139,304654.4561,91554.03157,2402.6095,32065.6251,,196616.2303,161206.7967,121569.7629,,14189.37538
SRB,Serbia,2008,48306.68399,374012.5989,138841.8357,4453.52134,56151.01728,,246441.695,220500.4639,154820.5614,,32434.51974
SRB,Serbia,2009,62549.98211,472089.6374,156594.0284,5697.16544,53930.90858,,319057.6091,277863.7047,153940.4081,,37157.6673
SRB,Serbia,2010,56599.55298,390016.19,186186.4541,286.57725,23480.17935,,293204.5052,186547.6668,176816.7816,,69179.0977
SRB,Serbia,2011,62165.56618,431156.6517,148419.8567,569.15917,37243.77828,,285213.6312,229404.263,164937.1178,,86064.74515
SRB,Serbia,2012,49427.40607,439023.3708,288240.7017,513.68597,78607.19674,,296664.3513,359738.096,199164.8792,245.03487,105208.4476
SRB,Serbia,2013,54022.93132,426792.637,180142.8716,215.08275,55989.47486,,311457.6328,227038.2916,178666.3094,,89288.61095
SRB,Serbia,2014,62054.84056,405246.9945,195991.3378,119.31366,94341.01114,,302016.8764,273065.3678,182671.2535,,73936.10842
SRB,Serbia,2015,110741.1884,438690.619,208164.7088,118.86353,108760.1295,,314708.5287,322684.7668,229084.69,,48310.59579
SVK,Slovakia,1996,257701.6499,177532.0807,,380.38497,13540.32997,,,,,,29665.44455
SVK,Slovakia,1997,362366.0375,196979.0075,,295.0448,10603.86575,,,,,,29455.67562
SVK,Slovakia,1998,226821.5363,198504.7466,,355.80857,12166.08115,,,,,,40482.87082
SVK,Slovakia,1999,185841.1913,178454.5495,,66.74676,8391.88845,,,,,,40687.20849
SVK,Slovakia,2000,212737.796,166555.4001,2505.91648,193.50706,8928.41593,,100137.9705,203103.0793,87678.05069,,31601.63862
SVK,Slovakia,2001,234034.6949,172154.3151,3096.64326,128.29784,7872.82185,,108854.8835,198159.898,110273.9353,,38263.85811
SVK,Slovakia,2002,215896.6709,177771.4288,255.02475,828.35108,8337.20025,,119468.5514,188655.0416,94963.16522,,39653.47313
SVK,Slovakia,2003,192714.2682,217259.9879,1462.43094,1644.08798,14251.8207,,158848.9916,191312.3896,77171.21451,,45559.21928
SVK,Slovakia,2004,156796.6221,233871.8819,1117.59747,116.89609,17578.69232,,184663.9415,144921.042,79898.47752,,44328.41425
SVK,Slovakia,2005,161410.6231,251519.7932,1292.68746,177.08047,26627.59091,,205847.1973,136252.8001,98926.00692,,40439.8679
SVK,Slovakia,2006,168621.5423,268026.4287,1614.84504,454.17517,43660.29139,,228758.2995,142173.048,111447.7374,,49923.22277
SVK,Slovakia,2007,181432.4229,274822.1419,820.53687,425.59714,52187.94803,,235685.2385,124936.2055,149067.2029,,49720.9273
SVK,Slovakia,2008,204229.388,308159.2021,1847.68249,2238.43105,72364.77309,,257646.5772,161280.5389,169910.5,,47109.39099
SVK,Slovakia,2009,206581.0759,297513.6475,3474.25189,5659.01062,75188.7146,,273675.5022,142349.1691,172392.0292,,45330.34523
SVK,Slovakia,2010,291283.9689,411844.9907,3513.86891,2324.62083,121846.0482,,384456.368,196690.8574,249668.2676,,58961.56294
SVK,Slovakia,2011,313147.3301,460224.6809,17094.94537,3586.04838,130971.7283,,452069.1855,227864.1488,245093.3735,,73642.34697
SVK,Slovakia,2012,437355.0666,482223.4819,20024.10107,3985.79306,216324.9046,,549105.9218,272092.3134,338717.0939,,98120.67182
SVK,Slovakia,2013,500409.6356,484258.5799,34166.87047,2455.77566,223667.1558,,548879.1066,296655.6615,399423.2494,,111465.721
SVK,Slovakia,2014,447042.7322,574281.9248,30525.96676,7265.7189,328609.0272,,625858.9962,394441.9116,367422.3899,,138481.7839
SVK,Slovakia,2015,479373.5416,610970.243,62323.98652,6065.69519,754378.5448,,,,,,
SVN,Slovenia,1996,176381.9613,155988.2649,16098.31647,1268.02609,9685.66054,,,,,,60986.90798
SVN,Slovenia,1997,202825.2055,140054.7945,3090.41096,850.41096,31180.27397,,,,,,63967.12329
SVN,Slovenia,1998,217985.9586,165553.1378,3231.89075,171.84301,27888.2565,,,,,,69627.47335
SVN,Slovenia,1999,257759.0038,166446.4136,2877.05553,300.88141,25508.05694,,,,,,79829.93318
SVN,Slovenia,2000,259406.2375,194750.1571,1924.42367,229.6403,30236.60542,,,,,,88929.62948
SVN,Slovenia,2001,303601.9816,205967.6276,4042.96749,2013.43003,39862.33508,,92533.66455,297241.3324,165715.1346,,117836.6634
SVN,Slovenia,2002,349730.6639,207510.5523,3766.59135,276.0224,21389.16415,,130049.4097,306429.436,146192.4339,,128146.3982
SVN,Slovenia,2003,274043.2566,196844.8951,1998.02498,453.49909,51853.34891,,61587.14823,327470.7074,136135.169,,146633.0157
SVN,Slovenia,2004,364257.8221,186647.345,2057.72147,659.58938,69087.46385,,69291.42665,383014.1754,170404.3398,,187798.7479
SVN,Slovenia,2005,370691.7322,251672.1709,4872.69211,136.03547,49139.94444,,96334.41779,443000.3196,137177.8377,,149421.0298
SVN,Slovenia,2006,470477.043,272867.668,2280.45498,1345.97666,46050.10771,,92965.83744,542213.8283,157841.5846,,198524.18
SVN,Slovenia,2007,462018.9695,282324.947,2824.67527,98.22202,45652.64574,,101263.7372,514486.9563,177167.1818,,201595.9495
SVN,Slovenia,2008,611392.7506,304677.1086,2841.63973,115.18029,54402.96376,,116789.6571,676270.8094,180370.7543,,32327.79363
SVN,Slovenia,2009,590808.1957,363342.9143,2930.12225,314.88344,61526.36257,,141609.1319,662344.1288,214969.2174,,33922.09815
SVN,Slovenia,2010,683895.5899,413175.3361,3326.42292,720.88202,70420.27893,,154435.2306,759891.318,257211.9613,,36229.42581
SVN,Slovenia,2011,877454.0443,451566.5817,3304.64606,155.45619,100621.8248,,187537.8624,913034.2805,332530.4101,,36835.10425
SVN,Slovenia,2012,951906.169,438685.0211,6626.64203,1638.12041,131001.8408,,203430.1648,912609.4072,413816.5734,,40331.71114
